,Games,Over/Under,3-way
623,"IK Oddevold
BK Forward",3.5 2.17 1.62,1.90 3.40 3.15
624,"FC Gute
Enköpings SK",3.5 2.02 1.71,2.05 3.55 2.75
625,"IFK Lidingö FK
FC Stockholm Internazionale",3.5 1.88 1.83,5.00 4.10 1.40
626,"IFK Karlshamn
Asarums IF FK",2.5 1.55 2.32,3.10 3.30 1.95
627,"Varbergs GIF FK
Dalstorps IF",3.5 1.88 1.83,2.20 3.50 2.50
628,"St. Gallen
Young Boys",3.5 1.96 1.80,6.20 4.75 1.45
629,"FC Zürich
Basel",3.5 2.23 1.61,2.60 3.85 2.40
630,"FC Sion
Grasshopper",2.5 1.65 2.18,2.45 3.60 2.65
631,"Grasshopper II
FC Kosova Zurich",3.5 2.02 1.71,1.52 4.00 5.00
632,"Kriens
FC Stade Ouchy",2.5 1.67 2.12,3.40 3.30 2.00
633,"FC Schaffhausen
Wil 1900",2.5 1.58 2.28,1.50 4.20 5.20
634,"Yverdon-Sport
Thun",2.5 1.58 2.28,3.15 3.75 1.95
635,"Stade Nyonnais
FC Rapperswil-Jona",2.5 1.55 2.30,2.10 3.50 2.80
636,"Young Boys II
Black Stars",3.5 2.38 1.52,3.10 3.50 2.00
637,"Etoile Carouge FC
FC Zürich II",2.5 1.55 2.30,1.90 3.50 3.40
638,"Bellinzona
Bavois",2.5 1.58 2.23,1.80 3.60 3.70
