,Games,Over/Under,3-way
119,"Siegburger SV 04
Spvg Wesseling-Urfeld",3.5 1.81 1.91,1.22 5.25 6.50
120,"SC Union Nettetal
VfB Hilden",3.5 2.10 1.65,4.20 4.00 1.50
121,"Wolfenbüttel
Eintracht Northeim",3.5 1.81 1.91,1.18 5.50 8.00
122,"FV Eppelborn
FV Diefflen",3.5 1.97 1.76,4.20 4.00 1.50
123,"TSV Emmelshausen
FV Engers 07",3.5 2.12 1.65,3.80 3.80 1.60
124,"FC Teutonia 05
SV Drochtersen/Assel",2.5 2.10 1.68,2.15 3.10 3.25
125,"St. Pauli II
Eintracht Norderstedt",2.5 1.64 2.18,2.30 3.30 2.75
126,"Altona 93
VfB Lübeck",3.5 2.28 1.58,5.25 4.25 1.48
127,"VfV Hildesheim
Atlas Delmenhorst",2.5 1.71 2.08,2.30 3.40 2.70
128,"Union Fürstenwalde
FSV Luckenwalde",3.5 2.40 1.54,3.40 3.60 1.90
129,"Tennis Borussia Berlin
BFC Dynamo",3.5 2.33 1.56,4.50 3.40 1.72
130,"Energie Cottbus
SV Babelsberg 03",2.5 1.60 2.25,1.85 3.60 3.60
131,"Germania Halberstadt
ZFC Meuselwitz",3.5 2.18 1.64,2.50 3.55 2.40
132,"Carl Zeiss Jena
Chemnitzer FC",2.5 1.56 2.33,1.60 3.85 4.75
133,"Hessen Kassel
Bahlinger SC",2.5 1.66 2.12,1.30 4.70 8.50
134,"Elversberg
SG Sonnenhof Großaspach",3.5 2.15 1.66,1.45 4.50 5.20
135,"Kickers Offenbach
TSV Steinbach",2.5 1.68 2.12,2.00 3.75 2.95
136,"FC 08 Homburg
VfB Stuttgart II",2.5 1.54 2.38,2.00 3.60 3.00
137,"Fortuna Düsseldorf II
Rot-Weiß Oberhausen",2.5 1.70 2.08,2.95 3.40 2.15
138,"Orense SC
Técnico Universitario",2.5 2.38 1.55,1.95 3.15 3.70
139,"Macará
Manta FC",2.5 1.98 1.78,1.68 3.40 4.50
140,"Guayaquil City FC
Emelec",2.5 1.68 2.07,5.20 3.85 1.52
141,"Al-Ittihad Alexandria
Future FC",2.5 2.28 1.58,1.75 3.15 4.50
142,"ENPPI Club
Al-Mokawloon Al-Arab",2.5 2.23 1.62,2.25 2.90 3.20
143,"Misr El Maqasha
El Gounah",2.5 2.12 1.67,2.75 3.00 2.50
144,"Ceramica Cleopatra
Ismaily",2.5 2.16 1.66,2.40 2.88 2.95
145,"Jocoro
CD Atletico Marte",2.5 1.97 1.76,1.72 3.25 4.10
146,"Municipal Limeño
AD Isidro Metapán",2.5 2.12 1.65,2.70 2.85 2.48
147,"CD Platense Zacatecoluca
CD FAS",2.5 2.12 1.64,2.85 2.95 2.30
148,"Once Deportivo de Ahuachapan
FC Alianza",2.5 1.89 1.82,3.25 3.05 2.05
149,"CD Luis Angel Firpo
Chalatenango",2.5 2.12 1.65,2.00 2.95 3.50
150,"CD Águila
Santa Tecla FC",2.5 2.10 1.66,1.67 3.20 4.40
151,"Manchester City
Crystal Palace",3.5 2.05 1.77,1.15 9.50 19.00
152,"Liverpool
Brighton & Hove Albion",3.5 2.20 1.68,1.25 6.75 12.00
153,"Burnley
Brentford",2.5 2.23 1.66,2.65 3.20 3.00
154,"Watford
Southampton",2.5 1.86 1.94,3.45 3.45 2.25
155,"Newcastle United
Chelsea",2.5 1.77 2.05,8.50 4.60 1.45
156,"Tottenham
Manchester United",2.5 1.74 2.10,3.05 3.60 2.38
157,"Sheffield United
Blackpool",2.5 1.82 1.98,1.57 4.00 6.40
158,"Hull City
Coventry City",2.5 2.10 1.73,3.20 3.40 2.30
159,"Huddersfield Town
Millwall",2.5 2.35 1.58,2.45 3.20 3.15
160,"Middlesbrough
Birmingham",2.5 2.17 1.68,2.15 3.35 3.55
161,"Bristol City
Barnsley",2.5 1.90 1.90,2.52 3.30 2.95
162,"Derby County
Blackburn Rovers",2.5 2.40 1.57,2.75 3.30 2.70
163,"Preston North End
Luton Town",2.5 2.38 1.58,2.60 3.25 2.88
164,"Stoke City
Cardiff City",2.5 2.05 1.77,1.88 3.50 4.50
165,"Swansea City
Peterborough United",2.5 1.83 1.98,1.60 4.30 5.50
166,"Reading
Bournemouth",2.5 1.94 1.86,5.30 3.80 1.70
167,"Manchester City (D)
Chelsea (D)",2.5 1.81 1.91,3.10 3.75 1.90
168,"Plymouth Argyle
Ipswich Town",2.5 1.94 1.87,2.70 3.40 2.60
169,"Rotherham United
Sunderland",2.5 1.95 1.85,2.00 3.60 3.75
170,"Portsmouth
Bolton",2.5 2.04 1.78,2.05 3.50 3.55
171,"Fleetwood Town
Wycombe Wanderers",2.5 2.10 1.73,3.65 3.35 2.10
172,"Wigan Athletic
Burton Albion",2.5 2.00 1.80,1.66 3.75 5.50
173,"Lincoln City
Shrewsbury Town",2.5 2.32 1.61,2.25 3.20 3.40
174,"Gillingham
Accrington Stanley",2.5 1.96 1.84,2.45 3.45 2.85
175,"Oxford United
Morecambe",2.5 1.70 2.15,1.48 4.60 6.50
176,"Charlton Athletic
Doncaster Rovers",2.5 1.96 1.84,1.75 3.75 4.75
177,"Cambridge United
AFC Wimbledon",2.5 2.05 1.77,2.80 3.50 2.45
178,"Crewe Alexandra
Milton Keynes Dons",2.5 1.80 2.00,3.70 3.60 2.00
179,"Cheltenham
Sheffield Wednesday",2.5 2.04 1.78,3.20 3.30 2.30
180,"Northampton Town
Carlisle",1.5 1.82 1.90,2.35 2.60 3.75
181,"Leyton Orient
Hartlepool United",2.5 2.38 1.52,1.95 3.40 4.10
182,"Mansfield Town
Tranmere Rovers",2.5 2.18 1.62,2.35 3.20 3.20
183,"Newport County
Stevenage FC",2.5 2.12 1.65,1.90 3.40 4.25
184,"Oldham Athletic
Swindon Town",2.5 1.94 1.79,3.60 3.50 2.05
185,"Bradford City
Forest Green Rovers",2.5 1.96 1.77,2.65 3.25 2.70
186,"Crawley Town
Port Vale",2.5 1.96 1.77,3.20 3.40 2.25
187,"Colchester United
Scunthorpe United",2.5 2.20 1.60,2.10 3.30 3.60
188,"Harrogate Town
Bristol Rovers",2.5 1.89 1.84,1.90 3.60 4.00
189,"Salford City FC
Exeter",2.5 2.07 1.68,2.35 3.30 3.10
190,"Barrow
Rochdale",2.5 2.10 1.67,2.50 3.20 2.90
191,"Sutton United
Walsall",2.5 2.12 1.65,2.40 3.20 3.10
192,"AFC Fylde
Gateshead",2.5 1.67 2.08,2.00 3.55 3.05
193,"York City
Blyth Spartans",2.5 1.61 2.18,1.39 4.50 5.80
194,"Southport
Chester FC",2.5 1.74 1.98,2.10 3.30 2.95
195,"Darlington FC
Guiseley",2.5 1.74 1.98,1.44 4.00 6.00
196,"Kidderminster Harriers
Spennymoor Town",2.5 1.62 2.17,2.23 3.35 2.75
197,"Brackley Town
Gloucester City",2.5 1.85 1.85,1.60 3.55 4.90
198,"Chorley
Farsley Celtic",2.5 1.74 1.98,1.64 3.60 4.50
199,"Alfreton Town
Bradford Park Avenue",2.5 1.68 2.05,1.72 3.60 3.85
200,"Boston United
Hereford United",2.5 1.82 1.89,1.61 3.50 4.90
201,"AFC Telford United
Leamington",2.5 1.78 1.94,2.10 3.40 2.95
202,"St Albans City
Eastbourne Borough",3.5 2.28 1.57,1.84 3.55 3.50
203,"Hungerford Town
Maidstone United",2.5 1.73 2.00,3.05 3.60 1.98
204,"Slough Town
Concord Rangers",2.5 1.67 2.08,1.97 3.35 3.25
205,"Dulwich Hamlet
Hampton & Richmond",2.5 1.72 2.02,2.50 3.25 2.50
206,"Ebbsfleet United
Bath City",2.5 1.54 2.32,1.40 4.35 6.00
207,"Chippenham Town
Braintree Town",2.5 1.63 2.15,1.97 3.50 3.15
208,"Dorking Wanderers FC
Dartford",2.5 1.62 2.17,2.65 3.30 2.32
209,"Chelmsford City
Havant & Waterlooville",2.5 1.68 2.08,3.40 3.30 1.90
210,"Wrexham
Torquay United",2.5 1.86 1.85,1.75 3.50 4.30
211,"Weymouth
King's Lynn Town FC",2.5 1.61 2.18,2.63 3.50 2.38
212,"Woking
Altrincham",2.5 1.76 1.95,1.85 3.50 3.75
213,"Grimsby Town
Notts County",2.5 1.93 1.78,2.18 3.45 2.95
214,"Solihull Moors
Yeovil Town",2.5 1.92 1.79,2.00 3.40 3.40
215,"Dover Athletic
Stockport County",2.5 1.80 1.91,8.00 4.75 1.33
216,"Eastleigh FC
Maidenhead United",2.5 1.78 1.94,1.95 3.50 3.40
217,"Bromley FC
Halifax Town",2.5 1.72 2.00,2.05 3.40 3.30
218,"Dag & Red
Chesterfield",2.5 1.79 1.93,2.75 3.35 2.35
219,"Boreham Wood
Southend",2.5 2.07 1.68,1.70 3.70 4.40
220,"Barnet
Aldershot",2.5 1.78 1.93,2.70 3.65 2.25
221,"FC Nõmme United
Levadia Tallinn II",4.5 2.30 1.55,1.42 4.75 5.25
222,"FC Elva
Parnu JK",3.5 1.90 1.81,1.80 3.80 3.50
223,"Vaprus Pärnu
JK Viljandi Tulevik",3.5 2.23 1.67,2.55 3.55 2.55
224,"Tammeka Tartu
Kuressaare FC",2.5 1.62 2.17,2.20 3.35 2.65
225,"JK Narva Trans
Flora Tallinn",3.5 2.06 1.68,11.00 5.75 1.16
226,"Nõmme Kalju
Levadia Tallinn",2.5 1.55 2.30,3.80 3.70 1.70
227,"Fasil Kenema SC
Jimma Aba Jifar",2.5 1.78 1.94,1.28 4.60 8.50
228,"Ethiopian Coffee SC
Sebeta Kima FC",3.5 2.38 1.52,1.85 3.50 3.40
229,"Nadi FC
Nadroga FC",2.5 1.62 2.17,1.53 4.00 4.75
230,"Rewa FC
Suva FC",2.5 1.70 2.05,1.53 4.00 4.75
231,"Navua FC
Lautoka FC",2.5 1.76 1.96,3.00 3.60 2.00
232,"AC Oulu
FC KTP",3.5 2.43 1.56,1.80 4.30 3.65
233,"FC Lahti
FC Honka",2.5 1.70 2.16,2.55 3.50 2.60
234,"FC Haka
IFK Mariehamn",3.5 2.35 1.58,1.70 4.15 4.30
235,"Metz
Saint-Étienne",2.5 1.95 1.85,2.70 3.30 2.65
236,"Lyon
Lens",2.5 1.58 2.35,1.57 4.50 5.10
237,"Angers
Nice",2.5 2.08 1.75,2.80 3.40 2.50
238,"Toulouse
Guingamp",3.5 2.33 1.56,2.75 3.45 2.40
239,"Nancy
Sochaux",1.5 1.56 2.35,3.25 3.00 2.30
240,"Pau
AC Ajaccio",1.5 1.60 2.25,2.95 2.70 2.75
241,"Nîmes Olympique
Niort",2.5 2.25 1.60,1.90 3.15 4.25
242,"SC Bastia
Amiens",2.5 2.50 1.50,2.00 3.10 4.00
243,"Rodez
Quevilly",2.5 2.48 1.50,1.75 3.35 4.75
244,"Dijon
Paris FC",2.5 2.16 1.66,2.63 2.95 2.80
245,"Caen
Grenoble",2.5 2.38 1.54,2.15 3.10 3.50
246,"Dunkerque
Le Havre",1.5 1.48 2.55,3.20 2.75 2.52
247,"Fleury 91 (D)
Stade de Reims (D)",2.5 2.17 1.62,1.95 3.40 3.10
248,"Torpedo Kutaisi
FC Dila Gori",2.5 2.05 1.68,3.85 3.05 1.85
249,"Dreams FC
Asante Kotoko",2.5 2.55 1.46,4.00 3.10 1.83
250,"PAOK Thessaloniki
Apollon Smyrnis",2.5 1.55 2.32,1.18 6.10 12.50
251,"Panetolikos Agrinio
Olympiakos Piraeus",2.5 1.87 1.88,6.50 4.25 1.42
252,"Lamia 1964
Atromitos Athens",1.5 1.48 2.55,2.25 2.95 3.25
253,"Xelaju MC
Deportivo Iztapa",2.5 2.20 1.60,1.80 3.10 3.95
254,"CD Marathón
CD Victoria",3.5 2.38 1.50,1.20 5.00 9.00
255,"CD Motagua
Real CD España",2.5 1.81 1.90,1.80 3.45 3.45
256,"Mezökövesd
Újpest FC",3.5 2.18 1.62,2.65 2.48 3.30
257,"MTK Budapest FC
DVSC Debreceni",2.5 1.73 2.10,2.14 3.40 3.10
258,"Gyirmot FC
Ferencváros",2.5 1.60 2.33,8.50 5.20 1.29
